r_cm,nSF6_m-3,nSF5_m-3,nSF4_m-3,nSF3_m-3,nSF2_m-3,nSF_m-3,nS_m-3,nF_m-3,nF2_m-3
3.668640889506067,3.977959839575015e+19,1.622064414673976e+19,4.434333986288353e+19,1.1988459008879841e+19,1.4859221423884995e+19,8.503714820133297e+18,8.525405896092e+18,2.365326895452096e+20,3.6229141904699354e+17
3.9432699474146715,4.079738037363615e+19,1.6184493640793688e+19,4.436811605174785e+19,1.1826435067790807e+19,1.4731021142191256e+19,8.442152849231218e+18,8.468254224706874e+18,2.28898303580363e+20,3.609760138340417e+17
4.213804557286315,4.183904460535828e+19,1.6132161044900278e+19,4.4386462238496014e+19,1.1661449914741922e+19,1.4602658970313603e+19,8.380319125300545e+18,8.410534836932822e+18,2.212007298014651e+20,3.596337199752223e+17
4.480031230979536,4.289463578514992e+19,1.6063729023349457e+19,4.439796569709228e+19,1.1495084795164527e+19,1.4475287871225954e+19,8.318764637037666e+18,8.352759585216279e+18,2.135079215077665e+20,3.5827835572649594e+17
4.741752974668693,4.395442675428811e+19,1.5979863066305833e+19,4.440243297611541e+19,1.1328849064448336e+19,1.4349913860849357e+19,8.257973891191387e+18,8.295384931134993e+18,2.0587933642525717e+20,3.5692317458250586e+17
4.9987895904789985,4.500911873389266e+19,1.5881743028970217e+19,4.4399862098576515e+19,1.1164150242246668e+19,1.4227390608682275e+19,8.198361460444375e+18,8.238806822591695e+18,1.9836526399817718e+20,3.555805409203871e+17
5.250977857418331,4.605002745372648e+19,1.5770967651994704e+19,4.439040754735176e+19,1.100226772731233e+19,1.4108419339580291e+19,8.140271182706784e+18,8.183358273032121e+18,1.9100657678084158e+20,3.542616612551859e+17
5.498171595782775,4.706924256466421e+19,1.5649441714718695e+19,4.437434135463938e+19,1.0844331503216808e+19,1.3993553102573367e+19,8.083977544907969e+18,8.12930922487369e+18,1.8383482569537893e+20,3.529763829737175e+17
5.74024162036436,4.805975265416886e+19,1.5519256072603105e+19,4.435201303496813e+19,1.069130671243968e+19,1.388320431401198e+19,8.029688681024139e+18,8.076868116453664e+18,1.7687257074909554e+20,3.517330652545823e+17
5.977075588786137,4.901553287729296e+19,1.5382570079994749e+19,4.432381009154917e+19,1.0543984382212049e+19,1.3777654361906428e+19,7.977550345500995e+18,8.026184461459942e+18,1.7013381906688426e+20,3.5053852005384557e+17
6.208577752123996,4.993159186395251e+19,1.5241504013912117e+19,4.429011943061883e+19,1.04029779136945e+19,1.3677063930022947e+19,7.927650155317472e+18,7.977351645805953e+18,1.6362442078294878e+20,3.493980150999717e+17
6.4346686156434405,5.08039789481237e+19,1.5098046404271309e+19,4.425128811104512e+19,1.0268724215716518e+19,1.3581482466203138e+19,7.880021262507981e+18,7.930408962854576e+18,1.5734223190810857e+20,3.48315325942937e+17
6.655284517983848,5.1629758018015986e+19,1.495397781806979e+19,4.42075788998763e+19,1.0141487487506608e+19,1.3490854670234814e+19,7.834644297742459e+18,7.885341477839782e+18,1.5127675553205774e+20,3.472928197058742e+17
6.870377137466866,5.240695221312201e+19,1.4810808449314697e+19,4.415911062170107e+19,1.0021362314058787e+19,1.3405020539080083e+19,7.791445637682312e+18,7.842075277118726e+18,1.4540773907878673e+20,3.4633154763420595e+17
7.079912934397284,5.313446756641026e+19,1.4669720752502446e+19,4.410576152557777e+19,9.90827008528655e+18,1.3323702245237787e+19,7.75028813368481e+18,7.800463163539537e+18,1.3970164512008256e+20,3.4543131278104576e+17
7.283872538273989,5.381200599587841e+19,1.4531496984461844e+19,4.4046986317217096e+19,9.801936619848554e+18,1.3246463093451475e+19,7.710945742516572e+18,7.760249767324803e+18,1.341035471761502e+20,3.4459065329383136e+17
7.48225008874786,5.4439978105741206e+19,1.4396385879366052e+19,4.398142963086775e+19,9.7018236965985e+18,1.3172603709967217e+19,7.673041775227125e+18,7.720989863267082e+18,1.2851859740298768e+20,3.438066158903026e+17
7.6750525389663204,5.5019437711435555e+19,1.42637989588676e+19,4.3906047152545735e+19,9.606948518074251e+18,1.3100909583787352e+19,7.635900728985405e+18,7.681855197017577e+18,1.227685727005229e+20,3.430740244106382e+17
7.862298929645567,5.555208081683985e+19,1.4140645792441084e+19,4.38419671814628e+19,9.521542936379564e+18,1.303737587321928e+19,7.603049684659497e+18,7.647454584842201e+18,1.179184926078887e+20,3.424115370362913e+17
8.044019641826567,5.603954823839033e+19,1.402571421001025e+19,4.378484176934209e+19,9.444266482698582e+18,1.2980376559469713e+19,7.573574973372743e+18,7.616654112660705e+18,1.1369091332068003e+20,3.418119816453227e+17
