epsilon_eV,f0_boltzmann,f0_maxwell
22.150000000000002,0.0,5.896428433756253e-10
22.25,0.0,5.35552088247366e-10
22.35,0.0,4.864233365135606e-10
22.450000000000003,0.0,4.418013998961332e-10
22.55,0.0,4.0127284671249094e-10
22.650000000000002,0.0,3.644621713435068e-10
22.75,0.0,3.3102831509453556e-10
22.85,0.0,3.0066150621444833e-10
22.950000000000003,0.0,2.730803897948266e-10
23.05,0.0,2.480294209572191e-10
23.150000000000002,0.0,2.252764971757728e-10
23.25,0.0,2.0461080779823858e-10
23.35,0.0,1.8584088084067624e-10
23.450000000000003,0.0,1.6879280895901737e-10
23.55,0.0,1.5330863816073514e-10
23.650000000000002,0.0,1.3924490432768232e-10
23.75,0.0,1.2647130399069244e-10
23.85,0.0,1.1486948704036908e-10
23.950000000000003,0.0,1.0433196018828547e-10
24.05,0.0,9.476109101892867e-11
24.150000000000002,0.0,8.606820340471182e-11
24.25,0.0,7.81727559028963e-11
24.35,0.0,7.100159552208407e-11
24.450000000000003,0.0,6.448827994427703e-11
24.55,0.0,5.857246192274586e-11
24.650000000000002,0.0,5.319933015202029e-11
24.75,0.0,4.831910142955071e-11
24.85,0.0,4.3886559403803817e-11
24.950000000000003,0.0,3.986063563520004e-11
25.05,0.0,3.6204029088333526e-11
25.150000000000002,0.0,3.288286052998657e-11
25.25,0.0,2.986635863086806e-11
25.35,0.0,2.7126574862737214e-11
25.450000000000003,0.0,2.4638124549376858e-11
25.55,0.0,2.2377951672198606e-11
25.650000000000002,0.0,2.0325115251352203e-11
25.75,0.0,1.8460595323117984e-11
25.85,0.0,1.6767116715918894e-11
25.950000000000003,0.0,1.5228988992201257e-11
26.05,0.0,1.3831961073211785e-11
26.150000000000002,0.0,1.2563089199737533e-11
26.25,0.0,1.1410617005439087e-11
26.35,0.0,1.0363866591629058e-11
26.450000000000003,0.0,9.413139594281857e-12
26.55,0.0,8.549627326639447e-12
26.650000000000002,0.0,7.765329164864715e-12
26.75,0.0,7.052978420569407e-12
26.85,0.0,6.4059750134087674e-12
26.950000000000003,0.0,5.8183243199408966e-12
27.05,0.0,5.284581632172496e-12
27.150000000000002,0.0,4.799801711187253e-12
27.25,0.0,4.359492968461396e-12
27.35,0.0,3.95957585034555e-12
27.450000000000003,0.0,3.5963450401373108e-12
27.55,0.0,3.266435127538121e-12
27.650000000000002,0.0,2.9667894274147654e-12
27.75,0.0,2.694631658965152e-12
27.85,0.0,2.4474402228891813e-12
27.950000000000003,0.0,2.2229248382378963e-12
28.05,0.0,2.019005322475962e-12
28.150000000000002,0.0,1.8337923181503376e-12
28.25,0.0,1.6655697875938856e-12
28.35,0.0,1.5127791134732538e-12
28.450000000000003,0.0,1.3740046578696223e-12
28.55,0.0,1.2479606460938947e-12
28.650000000000002,0.0,1.1334792537121518e-12
28.75,0.0,1.0294997864052847e-12
28.85,0.0,9.350588524116717e-13
28.950000000000003,0.0,8.492814364987434e-13
29.05,0.0,7.71372792761735e-13
29.150000000000002,0.0,7.00611081134722e-13
29.25,0.0,6.36340679389745e-13
29.35,0.0,5.779661086581302e-13
29.450000000000003,0.0,5.249465161928224e-13
