T_e (eV),LXCat Biagi_v10_6 [k_iz (m^3 s^-1)],Lallement Arrhenius [k_iz (m^3 s^-1)]
3.428571428571,2.423138668e-16,7.268827687e-16
3.451629072682,2.522831996e-16,7.536832886e-16
3.474686716792,2.625364988e-16,7.811019035e-16
3.497744360902,2.730776786e-16,8.091421954e-16
3.520802005013,2.839106156e-16,8.378075789e-16
3.543859649123,2.950391477e-16,8.671013024e-16
3.566917293233,3.064670726e-16,8.970264498e-16
3.589974937343,3.181981477e-16,9.275859417e-16
3.613032581454,3.302360884e-16,9.587825366e-16
3.636090225564,3.425845677e-16,9.90618833e-16
3.659147869674,3.552472156e-16,1.023097271e-15
3.682205513784,3.682276175e-16,1.056220133e-15
3.705263157895,3.815293146e-16,1.089989547e-15
3.728320802005,3.951558023e-16,1.124407488e-15
3.751378446115,4.091105301e-16,1.159475779e-15
3.774436090226,4.233969007e-16,1.195196094e-15
3.797493734336,4.380182697e-16,1.231569961e-15
3.820551378446,4.52977945e-16,1.268598759e-15
3.843609022556,4.682791861e-16,1.306283728e-15
3.866666666667,4.839252042e-16,1.344625965e-15
3.889724310777,4.999191612e-16,1.383626428e-15
3.912781954887,5.162641696e-16,1.423285939e-15
3.935839598997,5.329632923e-16,1.463605184e-15
3.958897243108,5.50019542e-16,1.50458472e-15
3.981954887218,5.674358813e-16,1.54622497e-15
4.005012531328,5.852152221e-16,1.588526232e-15
4.028070175439,6.033604257e-16,1.631488679e-15
4.051127819549,6.218743022e-16,1.675112358e-15
4.074185463659,6.40759611e-16,1.719397198e-15
4.097243107769,6.6001906e-16,1.764343009e-15
4.12030075188,6.796553062e-16,1.809949484e-15
4.14335839599,6.99670955e-16,1.856216202e-15
4.1664160401,7.200685604e-16,1.903142632e-15
4.189473684211,7.408506252e-16,1.950728132e-15
4.212531328321,7.620196008e-16,1.998971955e-15
4.235588972431,7.835778872e-16,2.047873247e-15
4.258646616541,8.055278332e-16,2.097431053e-15
4.281704260652,8.278717364e-16,2.147644319e-15
