T_e (eV),LXCat Biagi_v10_6 [k_att (m^3 s^-1)],Lallement Arrhenius [k_att (m^3 s^-1)]
6.67969924812,5.944905478e-16,1.560967167e-16
6.702756892231,5.921462305e-16,1.55781855e-16
6.725814536341,5.898188903e-16,1.554620829e-16
6.748872180451,5.8750834e-16,1.551374221e-16
6.771929824561,5.852143953e-16,1.548078954e-16
6.794987468672,5.829368746e-16,1.544735263e-16
6.818045112782,5.806755992e-16,1.54134339e-16
6.841102756892,5.784303927e-16,1.537903585e-16
6.864160401003,5.762010815e-16,1.534416106e-16
6.887218045113,5.739874947e-16,1.530881217e-16
6.910275689223,5.717894634e-16,1.527299191e-16
6.933333333333,5.696068218e-16,1.523670306e-16
6.956390977444,5.674394059e-16,1.519994849e-16
6.979448621554,5.652870546e-16,1.516273113e-16
7.002506265664,5.631496086e-16,1.512505399e-16
7.025563909774,5.610269114e-16,1.508692014e-16
7.048621553885,5.589188084e-16,1.504833271e-16
7.071679197995,5.568251472e-16,1.500929491e-16
7.094736842105,5.547457777e-16,1.496981001e-16
7.117794486216,5.52680552e-16,1.492988134e-16
7.140852130326,5.50629324e-16,1.488951231e-16
7.163909774436,5.485919498e-16,1.484870637e-16
7.186967418546,5.465682876e-16,1.480746705e-16
7.210025062657,5.445581975e-16,1.476579792e-16
7.233082706767,5.425615414e-16,1.472370263e-16
7.256140350877,5.405781833e-16,1.468118489e-16
7.279197994987,5.386079891e-16,1.463824844e-16
7.302255639098,5.366508263e-16,1.45948971e-16
7.325313283208,5.347065644e-16,1.455113475e-16
7.348370927318,5.327750747e-16,1.450696531e-16
7.371428571429,5.308562302e-16,1.446239276e-16
7.394486215539,5.289499055e-16,1.441742113e-16
7.417543859649,5.27055977e-16,1.437205449e-16
7.440601503759,5.251743228e-16,1.432629699e-16
7.46365914787,5.233048226e-16,1.428015281e-16
7.48671679198,5.214473577e-16,1.423362617e-16
7.50977443609,5.196018109e-16,1.418672136e-16
7.532832080201,5.177680666e-16,1.413944269e-16
7.555889724311,5.159460108e-16,1.409179454e-16
7.578947368421,5.141355309e-16,1.404378133e-16
7.602005012531,5.123365158e-16,1.399540749e-16
7.625062656642,5.105488559e-16,1.394667755e-16
7.648120300752,5.08772443e-16,1.389759603e-16
7.671177944862,5.070071703e-16,1.384816751e-16
7.694235588972,5.052529323e-16,1.379839662e-16
7.717293233083,5.03509625e-16,1.3748288e-16
7.740350877193,5.017771456e-16,1.369784635e-16
7.763408521303,5.000553927e-16,1.36470764e-16
7.786466165414,4.983442663e-16,1.359598292e-16
7.809523809524,4.966436673e-16,1.354457068e-16
7.832581453634,4.949534983e-16,1.349284454e-16
7.855639097744,4.932736628e-16,1.344080933e-16
7.878696741855,4.916040657e-16,1.338846997e-16
7.901754385965,4.89944613e-16,1.333583135e-16
7.924812030075,4.88295212e-16,1.328289844e-16
7.947869674185,4.866557708e-16,1.32296762e-16
