composition,bias,r_cm,nF_m-3,nF_normalized
90pct_SF6,bias_on,6.870377137466866,1.4584253531911961e+20,0.4802370126621974
90pct_SF6,bias_on,7.079912934397284,1.3994332793068916e+20,0.46081183106414275
90pct_SF6,bias_on,7.283872538273989,1.3417456606926003e+20,0.44181618650111826
90pct_SF6,bias_on,7.48225008874786,1.2844005715695904e+20,0.4229333316254657
90pct_SF6,bias_on,7.6750525389663204,1.2256042971809166e+20,0.40357262378649417
90pct_SF6,bias_on,7.862298929645567,1.1759756370738751e+20,0.3872306701718763
90pct_SF6,bias_on,8.044019641826567,1.1327221015002779e+20,0.37298794690496995
90pct_SF6,bias_on,8.220255635814988,1.0943609115268738e+20,0.360356197714184
90pct_SF6,bias_on,8.391057683293472,1.0599895415224536e+20,0.34903823480582397
90pct_SF6,bias_on,8.556485599041498,1.0289953603006757e+20,0.3388323281632328
90pct_SF6,bias_on,8.716607478116956,1.0009273915237656e+20,0.3295899782223016
90pct_SF6,bias_on,8.871498943756958,9.754337963169723e+19,0.32119532985902355
90pct_SF6,bias_on,9.021242410654596,9.52228539610004e+19,0.31355419612898416
90pct_SF6,bias_on,9.165926367673084,9.310721636369272e+19,0.3065877272769189
90pct_SF6,bias_on,9.305644683477583,9.11759921439977e+19,0.30022850328223266
90pct_SF6,bias_on,9.44049593800507,8.941140159446498e+19,0.29441797830592664
90pct_SF6,bias_on,9.57058278215975,8.779782658774627e+19,0.2891047242594483
90pct_SF6,bias_on,9.696011327620301,8.632142800067464e+19,0.2842431710410916
90pct_SF6,bias_on,9.816890568178785,8.496986107030807e+19,0.27979266924727664
90pct_SF6,bias_on,9.933331833602182,8.373205682808465e+19,0.27571677046887655
90pct_SF6,bias_on,10.045448276616877,8.259804967103434e+19,0.27198265950976735
90pct_SF6,bias_on,10.153354393265081,8.155883815116572e+19,0.26856069598771376
90pct_SF6,bias_on,10.257165576569625,8.060627035330604e+19,0.2654240369012451
90pct_SF6,bias_on,10.356997703168924,7.973294793500744e+19,0.2625483206478424
90pct_SF6,bias_on,10.452966752345947,7.893214465426766e+19,0.2599113987482672
30pct_SF6,bias_off,0.15111271804043516,1.2743193969922818e+20,1.0
30pct_SF6,bias_off,0.4531642392322628,1.2701975316465558e+20,0.9967654378051102
30pct_SF6,bias_off,0.754694815467764,1.2620154345715764e+20,0.9903446793247079
30pct_SF6,bias_off,1.0553598080104576,1.2498953996295129e+20,0.9808336925417476
30pct_SF6,bias_off,1.3548185378002071,1.2340183391370641e+20,0.9683744452526278
30pct_SF6,bias_off,1.652735815439179,1.2146205040068541e+20,0.9531523312551529
30pct_SF6,bias_off,1.9487834183683697,1.1919887619488339e+20,0.9353924649991445
30pct_SF6,bias_off,2.2426415016516534,1.1664542535090754e+20,0.915354703273139
30pct_SF6,bias_off,2.5339999298610736,1.1383843385597721e+20,0.8933273253523795
30pct_SF6,bias_off,2.822559518817317,1.1081729074703227e+20,0.8696194298587097
30pct_SF6,bias_off,3.1080331773526955,1.076229344020459e+20,0.844552273598467
30pct_SF6,bias_off,3.3901469407971856,1.0429666542680175e+20,0.8184499558977791
30pct_SF6,bias_off,3.668640889506067,1.0087894654456994e+20,0.791630000945367
30pct_SF6,bias_off,3.9432699474146715,9.740826981239903e+19,0.7643944684692656
30pct_SF6,bias_off,4.213804557286315,9.39201685275866e+19,0.7370221998445767
30pct_SF6,bias_off,4.480031230979536,9.04464356584981e+19,0.70976268486515
30pct_SF6,bias_off,4.741752974668693,8.701458399503852e+19,0.6828318253682325
30pct_SF6,bias_off,4.9987895904789985,8.364755315711476e+19,0.6564096360342963
30pct_SF6,bias_off,5.250977857418331,8.03636410945432e+19,0.6306397068444681
30pct_SF6,bias_off,5.498171595782775,7.717661589922614e+19,0.6056300805071524
30pct_SF6,bias_off,5.74024162036436,7.409594993052202e+19,0.5814550897161835
30pct_SF6,bias_off,5.977075588786137,7.112711033928233e+19,0.5581576369877161
30pct_SF6,bias_off,6.208577752123996,6.827183323751147e+19,0.53575134615898
30pct_SF6,bias_off,6.4346686156434405,6.552829452099639e+19,0.5142219028891802
30pct_SF6,bias_off,6.655284517983848,6.2891053066271736e+19,0.493526608907552
30pct_SF6,bias_off,6.870377137466866,6.03505483972239e+19,0.47359044003933837
30pct_SF6,bias_off,7.079912934397284,5.789170606262086e+19,0.4542951021483313
30pct_SF6,bias_off,7.283872538273989,5.5490642182483575e+19,0.43545317063724853
30pct_SF6,bias_off,7.48225008874786,5.3107055701198586e+19,0.41674838997620817
30pct_SF6,bias_off,7.6750525389663204,5.06663344990041e+19,0.39759525452244976
30pct_SF6,bias_off,7.862298929645567,4.860709979710953e+19,0.38143576808007995
30pct_SF6,bias_off,8.044019641826567,4.681347227950491e+19,0.367360587855734
30pct_SF6,bias_off,8.220255635814988,4.522377466541943e+19,0.35488571210764785
30pct_SF6,bias_off,8.391057683293472,4.380036971021902e+19,0.34371578909964834
30pct_SF6,bias_off,8.556485599041498,4.251765123761571e+19,0.333649878813492
30pct_SF6,bias_off,8.716607478116956,4.135673763224091e+19,0.3245398110540681
30pct_SF6,bias_off,8.871498943756958,4.0302882627488965e+19,0.3162698670569877
